,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
20,0YeGbC2MRIbICavfs01RWQ,Same Rain Falls - 2010 Remaster,2,194627,0,['Robin Trower'],['0MAvx5yzdhylg2ztJC3MD3'],2010-07-26,0.571,0.823,5,-10.502,0,0.0333,0.212,0.00148,0.368,0.74,116.134,4,Robin Trower,3.2437833333333335,False
21,4DPOKKu036htLAQsnVWF5C,HOLD ON ME [25th Anniversary Version],41,263920,0,['Kahoru Kohiruimaki'],['25AlSzLodlCYZrjU8je4pJ'],2010-09-15,0.614,0.901,8,-4.436,0,0.0322,0.0153,3.53e-05,0.581,0.742,128.975,4,Kahoru Kohiruimaki,4.398666666666666,False
22,69C7LzStg507cCJiBbRApM,Ngiyalilonda,22,406880,0,['Joyous Celebration'],['6jG7VTyXJjdrVP4jNjDX9W'],2010-04-23,0.286,0.365,2,-8.561,1,0.0357,0.783,0.0,0.118,0.188,116.498,3,Joyous Celebration,6.781333333333333,False
23,2X7izN6jltQjUfeX0C3AM8,Amazon Rainforest for Sleeping Baby Mp3,39,95452,0,['Sleep Baby Sleep'],['6e5ygqf81ECK33tTPpbLLq'],2010-03-27,0.474,0.163,0,-16.745,1,0.0455,0.986,0.624,0.35,0.312,124.49,4,Sleep Baby Sleep,1.5908666666666667,False
24,3dt0qnuV3FZjTQN947C7FK,The Art of War,50,308840,0,['Sabaton'],['3o2dn2O0FCVsWDFSh8qxgG'],2010-09-24,0.49,0.82,4,-5.195,1,0.0417,0.0118,1.97e-05,0.103,0.374,84.099,4,Sabaton,5.147333333333333,False
25,6SmV1Oo24nCZBPzIYkL4HZ,Alter Ego,53,287907,0,['Tame Impala'],['5INjqkS1o8h1imAzPqGZBb'],2010-05-21,0.317,0.846,0,-3.624,1,0.0538,0.0146,0.13,0.1,0.198,129.01,4,Tame Impala,4.79845,False
26,6AxqSGChkpy8SYeWRdZ7SC,Vim Ja?,31,255933,0,"['PSH', 'James Cole']","['7dC9YWGDFx7AzFyZkLhSo7', '4RefYXMwgQ9ygWvQLmcphN']",2010-01-28,0.697,0.904,10,-3.544,0,0.187,0.0443,0.0,0.237,0.893,88.543,4,PSH,4.26555,False
27,1kKLjAhCZXIJBaVBbtEkkT,Mi Padre Querido,57,221093,0,['Los Originales De San Juan'],['3aVB3VLnoAn6bKiHOEzHag'],2010-03-29,0.391,0.559,3,-6.371,1,0.197,0.578,0.0,0.138,0.719,178.482,3,Los Originales De San Juan,3.6848833333333335,False
28,6YMPu36VGIknb8Ey1ohW3j,Loca (feat. Dizzee Rascal),58,193160,0,"['Shakira', 'Dizzee Rascal']","['0EmeFodog0BfCgMzAIvKQp', '0gusqTJKxtU1UTmNRMHZcv']",2010-10-19,0.8,0.874,4,-3.955,0,0.0667,0.186,1.77e-05,0.0877,0.85,112.003,4,Shakira,3.219333333333333,False
29,28q4OWF6WFx7AFhupyd2Qx,Vassiliki,31,205187,0,"['Nikos Ziogalas', 'Manolis Famellos', 'Nikos Portokaloglou']","['41VO6F1Bl9jOBTCevwZmMR', '4r2mhPGW0RcGGkKkXQ2V2o', '38VfUvRpU0Tn6COM6AvMH0']",2010-05-06,0.558,0.871,4,-5.347,0,0.192,0.0859,0.0,0.867,0.624,128.439,4,Nikos Ziogalas,3.419783333333333,False
30,1wGjhv27md3YHSFMPqBFWt,Wiosna - ach to ty,42,232813,0,['Marek Grechuta'],['0MGE7m2KV6Db6jOZFy93aD'],2010-12-15,0.628,0.492,11,-13.112,1,0.038,0.517,0.0,0.323,0.931,125.068,4,Marek Grechuta,3.8802166666666666,False
31,2Kf8ndT78YkvxnbxpUcyPI,Y Tú y Yo (feat. Kany García),41,269000,0,"['Gilberto Santa Rosa', 'Kany Garcia']","['27vNK840zYq6IfDijHPsv1', '69UypehHabb68utzfjAVlV']",2010-06-29,0.476,0.527,8,-6.345,1,0.0367,0.83,0.0,0.115,0.125,139.889,4,Gilberto Santa Rosa,4.483333333333333,False
32,0s6EziOA3ZQQWoq8p59Fh5,Yesterday (Bossa Version),44,139880,0,['Monique Kessous'],['2iI3XJh51N8lfWhmrO5CFI'],2010-03-31,0.349,0.263,7,-12.831,1,0.0341,0.916,1.55e-06,0.146,0.197,82.097,4,Monique Kessous,2.3313333333333333,False
33,75agmvZXAzqIvOEqgIOelj,Sarhoş,46,259160,0,['Duman'],['6RTC1abMgBC7Krg6qJQHJh'],2010-07-06,0.637,0.595,4,-7.331,1,0.0348,0.203,3.57e-05,0.0893,0.415,119.172,4,Duman,4.319333333333334,False
34,2BSn6HQN5JvFsJ2Hhs7aKA,Psalms No. 53,0,107665,0,['David and the High Spirit'],['7xebq80GPbmJd8fwoJXEIb'],2010-01-03,0.416,0.0897,9,-15.829,1,0.0388,0.873,0.000124,0.193,0.259,77.546,3,David and the High Spirit,1.7944166666666668,False
35,14Pn9Vd2GKwQrVYADgCZ5l,You and I (Park Bom),54,234320,0,['2NE1'],['1l0mKo96Jh9HVYONcRl3Yp'],2010-09-09,0.661,0.784,8,-3.729,1,0.0513,0.018,0.0837,0.0844,0.689,161.838,4,2NE1,3.9053333333333335,False
36,1CSaCKPIp2yCIDL3t7Fyau,Barber: Adagio for Strings,60,537427,0,"['Samuel Barber', 'Sir Simon Rattle', 'Berliner Philharmoniker']","['4XDJurjQCnWLlE7KLZCT9x', '4GQwgdcDQwqtcHICjUNndp', '6uRJnvQ3f8whVnmeoecv5Z']",2010-01-18,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,3,Samuel Barber,8.957116666666666,False
37,30JyOfF64BNKVU0RCC3PNp,Hanepojad (Lumi tuli maha ja),12,89773,0,['Ülenurme Laulustuudio Lauljad'],['5bgdM6eUTIlQWEWQUv0xJU'],2010-09-20,0.759,0.183,0,-13.703,1,0.0376,0.747,0.0,0.0583,0.689,128.073,3,Ülenurme Laulustuudio Lauljad,1.4962166666666668,False
38,3gi1kqK7Oj9mp7jHTqdBxH,Bipolaridad,37,207280,0,['Señor Mostaza'],['1J1zdankTTXPqvtnhsn4gD'],2010-11-25,0.589,0.853,2,-4.72,1,0.056,0.0242,7.63e-06,0.168,0.769,126.472,4,Señor Mostaza,3.4546666666666668,False
39,3NON2M9rcmh64oj58lKLnE,Strašidýlko Emílek,26,156253,0,['Dagmar Patrasová'],['5fzloqqiK1SuSPVeKNRG3l'],2010-04-23,0.624,0.678,2,-7.315,1,0.0584,0.389,0.0,0.255,0.949,150.452,4,Dagmar Patrasová,2.604216666666667,False
