title,artists,rank,year,first_artist,title_fmtd,lyrics
Rolex,Ayo & Teo,61,2017,ayo,rolex,URL-ERROR-LYRICS-NOT-FOUND
 Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",74,2017,calvin harris, feels,URL-ERROR-LYRICS-NOT-FOUND
What About Us,P!nk,84,2017,pink,what about us,URL-ERROR-LYRICS-NOT-FOUND
I Like It,"Cardi B, Bad Bunny & J Balvin",7,2018,"cardi b, bad bunny",i like it,URL-ERROR-LYRICS-NOT-FOUND
The Middle,"Zedd, Maren Morris & Grey",8,2018,"zedd, maren morris",the middle,URL-ERROR-LYRICS-NOT-FOUND
Yes Indeed,Lil Baby & Drake,25,2018,lil baby,yes indeed,URL-ERROR-LYRICS-NOT-FOUND
Tequila,Dan + Shay,32,2018,dan,tequila,URL-ERROR-LYRICS-NOT-FOUND
MotorSport,"Migos, Nicki Minaj & Cardi B",34,2018,"migos, nicki minaj",motorsport,URL-ERROR-LYRICS-NOT-FOUND
Ric Flair Drip,Offset & Metro Boomin,38,2018,offset,ric flair drip,URL-ERROR-LYRICS-NOT-FOUND
Pray For Me,The Weeknd & Kendrick Lamar,40,2018,the weeknd,pray for me,URL-ERROR-LYRICS-NOT-FOUND
Bodak Yellow (Money Moves),Cardi B,54,2018,cardi b,bodak yellow money moves,URL-ERROR-LYRICS-NOT-FOUND
Wolves,Selena Gomez X Marshmello,60,2018,selena gomez x marshmello,wolves,URL-ERROR-LYRICS-NOT-FOUND
Plain Jane,A$AP Ferg Featuring Nicki Minaj,74,2018,asap ferg,plain jane,URL-ERROR-LYRICS-NOT-FOUND
Eastside,"benny blanco, Halsey & Khalid",77,2018,"benny blanco, halsey",eastside,URL-ERROR-LYRICS-NOT-FOUND
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",79,2018,"jay rock, kendrick lamar, future",kings dead,URL-ERROR-LYRICS-NOT-FOUND
Happier,Marshmello & Bastille,80,2018,marshmello,happier,URL-ERROR-LYRICS-NOT-FOUND
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",81,2018,"casper magico, nio garcia, darell, nicky jam, ozuna",te bote,URL-ERROR-LYRICS-NOT-FOUND
Lemon,N*E*R*D & Rihanna,83,2018,n e r d,lemon,URL-ERROR-LYRICS-NOT-FOUND
I'm Upset ,Drake,86,2018,drake,im upset ,URL-ERROR-LYRICS-NOT-FOUND
X,Nicky Jam x J Balvin,90,2018,nicky jam x j balvin,x,URL-ERROR-LYRICS-NOT-FOUND
Believer ,Imagine Dragons,100,2018,imagine dragons,believer ,URL-ERROR-LYRICS-NOT-FOUND
