id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
5UsLjwBaTHBX4ektWIr4XX,Forever,71,357707,1,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']","['3TVXtAsR1Inumwj472S9r4', '5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865', '7dGJo4pcD2V6oG8kP0tJRR']",2009-05-15,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02,5,Drake,5.961783333333333,True
4gWTBq5Jftq5CEKYpLXD8R,Life After You,52,206413,0,['Daughtry'],['5P5FTygHyx2G57oszR3Wot'],2009-07-14,0.434,0.764,5,-3.45,1,0.0299,0.0534,0.0,0.437,0.309,51.316,4,Daughtry,3.4402166666666667,True
4E5P1XyAFtrjpiIxkydly4,Replay,78,182307,0,['Iyaz'],['5tKXB9uuebKE34yowVaU3C'],2009-08-18,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4,Iyaz,3.03845,True
35srNkJVToAzYiZzron1FY,Young Forever,67,253907,1,"['JAY-Z', 'Mr Hudson']","['3nFkdlSjzX9mRTtwJOzDYB', '1zV9UjTUevjp5VUddqIUUn']",2009-09-08,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329,4,JAY-Z,4.2317833333333335,True
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,81,276920,1,"['JAY-Z', 'Alicia Keys']","['3nFkdlSjzX9mRTtwJOzDYB', '3DiDSECUqqY1AuBP8qtaIa']",2009-09-08,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,4,JAY-Z,4.615333333333333,True
4ZC8hXXqu2hPcDLw9QTdtQ,Smile,69,201627,0,['Uncle Kracker'],['2DnqqkzzDKm3vAoyHtn8So'],2009-09-11,0.541,0.812,4,-3.764,1,0.0336,0.203,0.0,0.42,0.607,141.056,4,Uncle Kracker,3.36045,True
3ZHfX6kbiY7JVsB63lLOLu,The Only Exception,63,267653,0,['Paramore'],['74XFHRwlV6OrjEM0A2NCMF'],2009-09-22,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,3,Paramore,4.460883333333333,True
02eD9ymfJOJOhM97HYp5R9,The House That Built Me,67,236627,0,['Miranda Lambert'],['66lH4jAE7pqPlOlzUKbwA0'],2009-09-24,0.515,0.3,5,-8.005,1,0.0289,0.575,8.46e-06,0.115,0.206,81.12,4,Miranda Lambert,3.943783333333333,True
0SiywuOBRcynK0uKGWdCnn,Bad Romance,83,294573,1,['Lady Gaga'],['1HY2Jd0NmPuamShAr6KMms'],2009-11-05,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4,Lady Gaga,4.90955,True
1HHeOs6zRdF8Ck58easiAY,Alejandro,68,274213,0,['Lady Gaga'],['1HY2Jd0NmPuamShAr6KMms'],2009-11-05,0.623,0.793,11,-6.63,0,0.0462,0.000397,0.0015,0.375,0.36,98.998,4,Lady Gaga,4.570216666666667,True
